wut,x2,gaussianmixture,0,Base,120 x 2,120 x 2,"cf: [[37  1 12]
 [ 0  0 40]
 [ 0 30  0]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.30833333333333335 
wut,x2,hdbscan,0,Base,120 x 2,120 x 2,"cf: [[ 0  0  0  0  0]
 [ 0  0  0  0  0]
 [26 21  3  0  0]
 [ 1  0 39  0  0]
 [ 3  0  0 27  0]] ",nca: nan ,r: 0.8556022408963585 ,ar: 0.6594876036269071 ,fm: 0.7671588857515338 ,mi: 0.8705816812489446 ,nmi: 0.7158771745288681 ,ami: 0.7097041682577013 ,a: 0.025 
wut,x2,kmodes,0,Base,120 x 2,120 x 2,"cf: [[50  0  0]
 [40  0  0]
 [28  1  1]] ",nca: 0.01666666666666672 ,r: 0.35896358543417367 ,ar: 0.01037478219316718 ,fm: 0.5806443339832512 ,mi: 0.023533569016150627 ,nmi: 0.040095533011981925 ,ami: 0.009552385284972886 ,a: 0.425 
wut,x2,birch,0,Base,120 x 2,120 x 2,"cf: [[27 12 11]
 [ 0 40  0]
 [ 0 30  0]] ",nca: 0.27 ,r: 0.6088235294117647 ,ar: 0.22838795849968002 ,fm: 0.5594231998490572 ,mi: 0.39471466986854525 ,nmi: 0.4171534463500546 ,ami: 0.4060484801889132 ,a: 0.5583333333333333 
wut,x2,minibatchkmeans,0,Base,120 x 2,120 x 2,"cf: [[11 37  2]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6876727599107165 ,fm: 0.7943409335528321 ,mi: 0.7936195422150693 ,nmi: 0.736039339683099 ,ami: 0.731786371562596 ,a: 0.3416666666666667 
wut,x2,latentdirichletallocation,0,Base,120 x 2,120 x 2,"cf: [[ 1 29 20]
 [33  1  6]
 [30  0  0]] ",nca: 0.365 ,r: 0.7103641456582633 ,ar: 0.3768602798184961 ,fm: 0.6047837088047909 ,mi: 0.5177438567407358 ,nmi: 0.4952693199843439 ,ami: 0.48684241557292446 ,a: 0.016666666666666666 
wut,x2,spectralcoclustering,0,Base,120 x 2,120 x 2,"cf: [[15 22 13]
 [ 2 38  0]
 [10 15  5]] ",nca: 0.2716666666666666 ,r: 0.5570028011204482 ,ar: 0.09054072665505268 ,fm: 0.451819772248707 ,mi: 0.1479771190443976 ,nmi: 0.148608785117555 ,ami: 0.13353761515380827 ,a: 0.48333333333333334 
wut,x2,bayesiangaussianmixture,0,Base,120 x 2,120 x 2,"cf: [[ 4 46  0]
 [40  0  0]
 [30  0  0]] ",nca: nan ,r: 0.7669467787114846 ,ar: 0.5406542287326174 ,fm: 0.7472066843820674 ,mi: 0.5495184950817431 ,nmi: 0.6304605776099199 ,ami: 0.6268229798980182 ,a: 0.03333333333333333 
wut,x2,genie,1,UMAP_local,120 x 2,120 x 2,"cf: [[ 0  6  0  4  0]
 [ 0  0  0 22  0]
 [ 0 46  0  0  0]
 [ 0  0  0  0 31]
 [ 0  0 11  0  0]] ",nca: 1.0 ,r: 0.9456582633053221 ,ar: 0.8656754498310179 ,fm: 0.906325227426604 ,mi: 1.2063604814094882 ,nmi: 0.8880755315704946 ,ami: 0.8833201956882374 ,a: 0.0 
wut,x2,kmeans,1,UMAP_local,120 x 2,120 x 2,"cf: [[ 0  1  4  0  5]
 [ 0  0 22  0  0]
 [ 0 31  0  0 15]
 [ 0  0  0 31  0]
 [ 0  0 11  0  0]] ",nca: 0.5579710144927535 ,r: 0.8635854341736695 ,ar: 0.6413959648872941 ,fm: 0.7330097839016064 ,mi: 1.042888473834021 ,nmi: 0.740193854129324 ,ami: 0.729731002692742 ,a: 0.25833333333333336 
wut,x2,agglomerative,1,UMAP_local,120 x 2,120 x 2,"cf: [[ 0  4  1  0  5]
 [ 0 22  0  0  0]
 [ 0  0 32  0 14]
 [ 0  0  0 31  0]
 [ 0 11  0  0  0]] ",nca: 0.5652173913043478 ,r: 0.8665266106442577 ,ar: 0.649943821612011 ,fm: 0.7396886372637969 ,mi: 1.0450976353069132 ,nmi: 0.7428842200040812 ,ami: 0.7325048732443017 ,a: 0.7083333333333334 
